CODIGO,LONGITUD,LATITUD,ELEVACION,ESTACION,MUNICIPIO,DEPARTAMENTO,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12,01_13,01_14,01_15,01_16,01_17,01_18,01_19,01_20,01_21,01_22,01_23,01_24,01_25,01_26,01_27,01_28,01_29,01_30,01_31,02_01,02_02,02_03,02_04,02_05,02_06,02_07,02_08,02_09,02_10,02_11,02_12,02_13,02_14,02_15,02_16,02_17,02_18,02_19,02_20,02_21,02_22,02_23,02_24,02_25,02_26,02_27,02_28,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,03_13,03_14,03_15,03_16,03_17,03_18,03_19,03_20,03_21,03_22,03_23,03_24,03_25,03_26,03_27,03_28,03_29,03_30,03_31,04_01,04_02,04_03,04_04,04_05,04_06,04_07,04_08,04_09,04_10,04_11,04_12,04_13,04_14,04_15,04_16,04_17,04_18,04_19,04_20,04_21,04_22,04_23,04_24,04_25,04_26,04_27,04_28,04_29,04_30,05_01,05_02,05_03,05_04,05_05,05_06,05_07,05_08,05_09,05_10,05_11,05_12,05_13,05_14,05_15,05_16,05_17,05_18,05_19,05_20,05_21,05_22,05_23,05_24,05_25,05_26,05_27,05_28,05_29,05_30,05_31,06_01,06_02,06_03,06_04,06_05,06_06,06_07,06_08,06_09,06_10,06_11,06_12,06_13,06_14,06_15,06_16,06_17,06_18,06_19,06_20,06_21,06_22,06_23,06_24,06_25,06_26,06_27,06_28,06_29,06_30,07_01,07_02,07_03,07_04,07_05,07_06,07_07,07_08,07_09,07_10,07_11,07_12,07_13,07_14,07_15,07_16,07_17,07_18,07_19,07_20,07_21,07_22,07_23,07_24,07_25,07_26,07_27,07_28,07_29,07_30,07_31,08_01,08_02,08_03,08_04,08_05,08_06,08_07,08_08,08_09,08_10,08_11,08_12,08_13,08_14,08_15,08_16,08_17,08_18,08_19,08_20,08_21,08_22,08_23,08_24,08_25,08_26,08_27,08_28,08_29,08_30,08_31,09_01,09_02,09_03,09_04,09_05,09_06,09_07,09_08,09_09,09_10,09_11,09_12,09_13,09_14,09_15,09_16,09_17,09_18,09_19,09_20,09_21,09_22,09_23,09_24,09_25,09_26,09_27,09_28,09_29,09_30,10_01,10_02,10_03,10_04,10_05,10_06,10_07,10_08,10_09,10_10,10_11,10_12,10_13,10_14,10_15,10_16,10_17,10_18,10_19,10_20,10_21,10_22,10_23,10_24,10_25,10_26,10_27,10_28,10_29,10_30,10_31,11_01,11_02,11_03,11_04,11_05,11_06,11_07,11_08,11_09,11_10,11_11,11_12,11_13,11_14,11_15,11_16,11_17,11_18,11_19,11_20,11_21,11_22,11_23,11_24,11_25,11_26,11_27,11_28,11_29,11_30,12_01,12_02,12_03,12_04,12_05,12_06,12_07,12_08,12_09,12_10,12_11,12_12,12_13,12_14,12_15,12_16,12_17,12_18,12_19,12_20,12_21,12_22,12_23,12_24,12_25,12_26,12_27,12_28,12_29,12_30,12_31
47075010,-72.789583,-1.444611,160,LA CHORRERA,LA CHORRERA,AMAZONAS,21.8,22.2,21.6,22.2,22,23,21.8,22.2,20.4,21.8,21.8,22.2,22,20.8,22,22.6,22,22.8,22.4,22.8,22.6,22.6,20.2,21.2,22.6,22.2,22,21.2,22.2,22,21.6,22.2,22.6,20.6,21,22.8,21.2,20.4,20.6,20.2,21.6,21.6,21,22,22.2,22.8,22.4,22.2,21.8,22.6,22.8,23,23.2,23.4,23.6,22.6,23,22.8,22.4,21.6,21.4,21,22.2,24.2,23.2,,21,22.6,22.8,23.2,23.4,22.4,22,24,22.6,22.8,22.4,21.8,21.2,22.6,23,22,23.2,22.6,22.2,,23,21.6,,,22,21.8,,,,21.2,22.2,21,22.4,22.6,22.4,22.6,21.6,22.4,21.2,22.4,21.6,20.8,23.2,23,21.2,21.4,21.2,22.4,22.6,22.4,20.8,22.2,21.2,22.4,22.8,23,22.8,,,23,,,23.4,22.8,23.2,23.4,,21.4,22.6,20.8,23,22.4,22.2,22.4,22.8,22.4,23,22.8,,23,22.8,,,23,22.8,22.8,22.8,22.8,22.4,23.2,22.6,22.4,22.8,23.4,22.4,23.2,23,23,21.8,22.2,22.8,22.4,23,22.8,22.8,22.2,21.8,23,22.8,23.6,22.4,22.6,21.6,21.2,21.2,21,22.8,23.2,22.6,22.2,23.4,22.8,22.4,22.6,21.8,22.8,22.4,,,,,,22.8,,22.8,,23,,,22.8,21.6,,,22.4,21.6,21.6,20.8,21,21.4,20.4,21.8,22.4,22.8,22.2,22.6,22.8,20.8,21.6,21,20.6,22.4,22.8,22.4,21.4,22.4,22.8,22.6,,22.6,,,,,,,,,20,22.4,22.6,21.8,21.8,21.6,21.4,21.6,22.6,22.8,21.8,21.6,21,20,20.8,20,22.6,22.4,22.2,21.6,20.2,21.4,21.6,21.4,21,21.6,21.8,21.2,20.8,20.6,20.4,21.4,21.8,22,22.3,20.8,20,20.6,21.8,22.2,21.8,22.6,22.8,22,21.3,20.4,21.2,20.4,20.2,21.6,21.2,21.6,20.8,21.2,20.2,20.6,22.6,21.2,22,21.6,,21,21.4,21.6,22,20.8,21.2,21.4,23.2,21.8,22.4,22.6,21.8,22.4,22.4,21.4,21,21.4,20.8,22.8,20.8,21.8,22.8,22.8,22.4,22.6,22.8,23.2,23.6,24.6,23,22.8,22,23,23,23.4,23,23.4,22.6,23.6,23.2,23,22.8,23.2,23,21.2,23.2,22.8,23,22.8,23,22.6,23,21.8,20.8,20.6,22,21.8,22.8,22.8,22.6,22.8
48015010,-69.940917,-4.193861,84,APTO VÁSQUEZ COBO,LETICIA,AMAZONAS,23.2,23,24.3,23,23.2,23,23.4,23,23,22.6,22.8,25.5,23,23.2,23.5,23.6,23.1,23.1,23.7,23.1,23.8,23.4,23.5,21.8,23.6,23.6,23.5,23,23.9,23,22.8,22.2,22.7,22.3,23,23.2,22.2,22.8,23.4,24.2,24,24.4,24,24.1,23.8,23.2,24.3,23.5,24.2,23.6,24.5,24,22.6,23.4,24.4,23.5,23,23.6,22.6,23.3,23.6,23.5,23.4,23.2,22.8,23.6,24,24.5,23.8,24.3,23.6,23.8,24.1,23.9,24.4,24.2,24,23.8,22.6,23.2,23,22,23,23.7,23.4,23.8,24.4,22.6,24.2,21.8,23.1,23.2,24.6,24.4,24,23.8,23,24,24.2,22.8,22.4,22.7,23,23.2,23.9,23.7,23.4,23.8,24,24.4,23.7,23.8,23.6,24.4,24.4,24,24.4,22.2,23,23.5,23.7,24.6,24.2,24.8,23,23.4,23.3,23.5,24,24.1,24,24.3,23.4,23.2,23.6,23.1,24,22.9,24,24.2,23.6,24,23.9,24,24.2,23.2,23.7,24.1,24.2,24,22.8,23.8,23.4,24.7,24,23.1,23.8,23.4,23.9,22.8,22,22.8,23,23.8,23,23.6,22.4,23.2,22.4,22.3,22,22,23.5,22.8,22.7,23.2,21.6,21.2,23,23,23,22.6,23,21.8,22.5,23.3,21.7,22.1,23.4,23,23.3,22.8,23.2,21.8,24.1,22.8,23.4,24,22.6,23.2,23.4,22.8,22.7,22.5,22,21.8,22.5,23,24,23,23.2,23.2,22.7,23.4,23.7,24,23.8,23.2,22.8,23,22.8,23.8,23.8,23.3,23.2,23.2,23.8,23,23.5,24.3,23.9,22,22.4,22.8,22.6,22.2,23,24.1,22.8,23.9,23.1,24,22.4,23,23.6,22.6,23.9,24.8,24.4,24,23.9,22.8,23.6,24.2,24,21.6,24.4,23,24.2,24,23.6,24.2,23.6,23.2,23.2,23,25.3,22.6,23.4,23,24,24,23.4,24.2,23.6,23,24.2,23.4,23.4,22.8,24,23.4,24,23.6,24.8,23.8,23.2,23.8,24.2,23.9,23.4,23.4,23.2,22.6,24.3,25,23,24.3,23.5,22.2,23.8,21.4,22.4,23.5,23.2,23.5,23.6,23,23.2,22.4,23.6,24.6,24,24.2,23.8,22.2,23.3,24.4,24.6,23.7,23.4,24.2,23.8,23.4,24.8,24.2,24.6,22.2,23.7,24.8,24.1,23.7,24.6,24.6,24.9,25,24.4,24.6,23.8,23.5,23.9,24.3,23.4,24.8,23.8,24.9,23.4,24,23.3,23.2,23.3,23.2,24.2,23.8,23.2,23.2,24,23.5,24,23.5,23.9,24.1,24.8,22.6,23.3
11115020,-76.029667,6.758028,"1,294",CAÑASGORDAS,CAÑASGORDAS,ANTIOQUIA,15,15.6,14.2,15.2,14.6,15.4,14.6,15,14.8,15.2,15,15,14.8,17.8,17,16.6,17.2,16,15.6,15,16,15.8,15.6,15.8,16.2,16.4,16,15.2,15,14.8,14.8,14.2,14.8,15,14.8,14,14.8,15,14.6,14,14.8,14.4,14.8,14,17.4,16,17,17.4,17.2,14.6,16.6,16,14.8,15,14.6,14.8,14.2,,,14.8,15.2,14.2,15.2,16.2,15,15.2,14.6,15,17.6,17.8,17.4,16.8,17,17.2,17.4,16.8,17.4,17,15.4,16.4,16.2,15.2,15,14.6,14.2,14.8,14.2,14.6,,,16.4,14.6,15.4,17.6,16,16.6,16.6,16.4,16.2,16,17.2,16.4,17.6,18.8,17.6,15.6,16.2,17,16.4,17,16,15.8,16.2,16,17,17,17.6,18.2,,,,,,,,,,,,,,,,,,,18.2,17.8,16.6,17.8,16.6,15.4,17.2,,16.8,17.2,18.6,17.8,17.6,17,17,16.8,17.4,17.2,17.6,17.2,17,18,17.4,18,17.4,17.4,17,17.4,19.2,18.8,18.4,18.6,17.4,17.8,17.2,17.2,17,17,17.2,15.6,17,16.8,18.4,18,17,16.6,16.4,16.8,16.6,16.8,16.4,16.8,16.4,17.4,17,17.4,17.6,17.4,15.6,16,15.8,17.8,16.6,16.4,16.6,17.6,16.4,16.6,16.4,17.4,16.6,16.2,15.4,15.8,16.4,15.6,15,15.4,15.8,16,15.4,15.8,17.4,17.4,17.8,16.4,16.8,17,16.6,17,16.8,17.2,17,16.8,16.8,17,17.2,16.8,17.6,17.8,17.2,17.6,18.4,16.8,17,17.8,18.4,17.4,17.2,17.4,16.8,17,15.4,16,16.4,16,16.6,16.4,16.4,15.4,15.6,15,15.4,15.8,15,17.6,15,17.2,17.6,17.4,17,17.4,17.2,17.6,17.2,18.8,16.8,16.8,16.6,17,16.6,16.2,16.6,16,16.6,16.8,17,16.8,16.4,16.6,15.8,16,15.8,16,15.4,16,15.4,15.4,16,15.2,15.8,15.4,15.2,14.5,15.2,14.8,15,14.6,14.6,15,17.6,15.2,15.8,16,15.8,14.8,19.2,15.4,15.8,17.6,17.8,17.4,17.6,17.8,17.2,17.6,16.6,17,16.8,17.2,17,16.4,16.8,16,16.8,16.4,16.8,16,16.4,16.6,16,16.6,16,15.6,15.8,16.6,15.4,15.8,15.4,15.8,15.2,15,15.2,14.8,14.6,15.2,14.8,15,16.6,17.8,17.4,17.6,17.8,16.4,16.4,16.6,16.4,17.8,17.6
12015020,-76.651333,7.825917,43,UNIBAN,APARTADÓ (UNIBAN),ANTIOQUIA,23.4,23.4,23.8,22.4,22.6,21.6,22,22,21.2,21.8,23,23.4,23.8,23.8,23.6,23.8,24,23.6,23.8,23.1,23.1,23.7,23.8,22.6,22.8,21.8,22.4,23.3,23.2,24.6,24.2,22.8,24.2,23.8,23.4,24.6,22.6,21.8,21.6,20.4,22,21.8,22,22,22.4,21.2,21.2,20.6,20.4,20.6,19.7,22.6,21.8,22.4,21.6,20.4,20.8,21.8,21.6,21.4,21.6,20,20,20,22.2,21.8,22.4,22.6,21.4,20.4,22.2,21.6,21.6,21.2,21.6,20.8,21,20.4,21.2,21.6,20.6,22,21.4,20.4,20.2,21.6,22,21,20.4,20.4,21,22,22.2,22.8,20.8,22.4,21.2,20.2,20.6,21.4,21,20,20,20.2,22,20,19.2,20.8,21.8,22.4,20.4,21,22.4,22,21.8,21.4,21.6,21.4,21,20.4,20.2,23.2,,21.8,22,22.6,21,22.2,22.4,20.6,23,22.4,26.8,26,23.8,23.4,21.8,23,22,24.2,24.4,24.2,24,,22.4,,,,22.6,,23.8,24,24.7,22.8,24.8,22.8,22.6,22.6,23,23,23.8,24.4,21.6,23.2,22.8,23.6,23.8,25.6,25.6,26.2,26.4,22.2,24,24.4,24.6,22.8,23.4,22.2,22.8,24.6,23.2,25,25,25.2,25.4,25.4,25.2,24.4,23,24.6,24.6,22.2,21.8,22.6,21.2,23,22.8,22.8,24,23.6,23.4,23.4,23.8,23.2,22.4,24,23.8,22.8,24.8,24.6,24.8,24.4,2.4,25,25,25,26.4,25,24.2,24.6,23.6,21.4,22.8,25.4,25.6,22.6,24,23,23.2,22.6,24.2,25.4,23.8,23.8,24.2,24.8,23,22.8,23.4,24.4,25,24.8,24.6,23,24.6,24.6,22.4,22.4,22.6,22.6,22.8,24.8,23.2,23.2,24,23.9,24.6,24,25,24.2,23.2,24.1,23.8,24,25,24,24.4,25.2,25,25,23.4,23.6,22.2,23.8,22.8,23.6,24,24.4,24.4,24.4,24,25,24,23.6,24.2,23.6,24,24,23.2,23.4,23.4,23.6,24.8,22.8,23.8,,23.2,23.2,23.4,23.4,23.8,24,21.8,22.4,23,22.4,22.4,23,23.6,23.4,24.4,24.4,24,22.6,22.8,23,23.6,23.8,21.8,22.6,23.2,23,23.8,23.4,24.2,24.4,23.8,,,,,,,,22.6,25.4,25,22.8,24,23,24.9,24.3,24.5,24,25,24.4,25,24,24,24.4,24.6,25,24.2,24,24.9,25.7,24.9,24.6,24.4,23.8,24.6,24.4,24.6,24.4,24.6
12015070,-76.717889,7.816389,41,APTO LOS CEDROS,CAREPA,ANTIOQUIA,25.2,24.7,24.5,24.4,24.5,22.4,23.6,23.5,23.8,24.5,24.7,24.8,25.2,24.9,24.7,24.9,25.3,24.3,24.5,24.6,23.2,23.4,23.7,24,24.5,24.6,24.6,24.4,24.4,24.9,25.5,25.3,25.3,25.4,25.6,25.5,25.6,23.9,23.9,22.3,22.7,23.2,24.4,24.5,25.3,25.4,25.3,25.1,32.2,24.6,24.4,24.5,23.8,24,24.5,24.3,24.5,24.5,25.5,25.6,25.2,24.3,23.9,23.8,24.5,25,24.9,25,24.9,25.4,25.7,25.6,25.5,25.4,25.3,24.9,25.1,23.9,24,23.9,24.3,23.6,24.7,24.4,24.3,24.5,25.5,25.1,24.4,24.6,24.4,25.3,25.3,24.8,24.2,25,25.4,23.2,24.2,24.8,25.2,25,26,24.6,24.8,24.4,23.8,24.6,25.4,25,23.9,24.2,25.6,26.1,25.5,25.3,25.5,26.5,25.3,24,23.8,24.5,24.6,24.1,25.2,25.8,24,24.9,25.2,19,26.4,26.5,25.6,26.4,23.6,24.2,22.8,23.6,24.9,24.4,25.4,24.9,24.8,24.9,21.9,22.8,23.9,23.2,23,24,23.7,24.8,24.9,22.2,23.5,22.8,23.2,22.8,24.3,22.7,23.5,23.9,23.6,23.5,23.2,22.8,25.2,26,25.2,26.7,26,24.9,23.6,24.8,26.4,26,24.9,25.6,25.2,24,23.9,24.3,26,26.8,25,26.9,24.9,24.4,22.7,23.5,23.9,23.4,22.9,23.7,24.2,23.6,23.4,23.6,23.8,23.9,23,23.8,24,23.9,23.9,24.9,25,25.6,24.2,24.9,24.6,24.7,24.2,25.1,25,26.8,25.2,26.1,26.6,25.1,22.9,23.1,23.9,24.8,26,22.9,24.3,24.2,24.8,22.8,24.8,26.4,24.2,24.3,24.8,24.5,23.4,23,24,25,25,24.9,24.8,23.9,24.3,24,24.3,25,23.9,24.1,24.3,25.2,23.9,23.6,23.6,24.9,24.8,24.5,25,24.6,25.9,24.2,24.8,25,25.5,25,24.3,25.2,25.8,25.6,24.2,25.5,22.7,23.3,23.6,24.3,25.5,26.7,26.2,24.9,24.6,25.9,24.4,24.4,24.4,24.8,24.4,25.1,24,24.8,25,24.9,25.8,23.2,24,24.4,23.2,23.8,23.9,24,24,24.6,23.2,23.9,24.3,23.6,22.7,23.4,24.4,23.2,24,24.6,24.6,23.4,24,24.8,24.8,25.4,24.4,24.8,23.9,23.6,24,23.5,24,25,24,25.1,24.2,25,24.5,23.9,23.5,25.6,26.2,25.6,25.8,23.5,23.9,25.5,24.7,24.5,25.1,25.9,26.3,25.1,25.5,24,24.6,24.9,25.5,25.9,24.8,25.2,25.9,26.2,25.6,25.7,25.6,25.3,25.5,24.8,26.2,26,26.1
12045010,-76.431944,8.846944,4,ARBOLETES,ARBOLETES,ANTIOQUIA,24,23,26.2,21.4,21.8,22.2,20.4,22.2,22.6,23.4,23.2,25,26.4,26.6,25.4,26.2,25.2,26,25.2,,25,25,23.8,24.2,26,26.2,26,25.6,26.2,26,26.4,26.4,26,25.6,25.2,25.6,26.4,26,25.8,25,23.8,24,25.8,24.6,26.4,22.2,26,26,26.2,26,26.2,25.8,25.2,23.8,25,26.4,26,26,26.4,26.2,26,26,24.4,24,25.6,25,23.2,23.8,25.8,26,26.6,26,26,26,26.2,26,21.2,25,26,24.2,25,24,25,26.2,26,25,26,26.2,26,25.8,26,26.2,22.4,26.6,26,26.4,26,22.2,24.2,26,26,24.8,25,26.4,23,23.4,23,24.2,25.2,25,22.2,24,26.8,26.6,22.2,24.8,26.2,26,21.8,24.6,24.4,25.8,26,26.2,24.2,26.4,25,22.2,26,23.8,26,,,23.4,22.8,23,21.6,23.2,24.2,,25.8,,24.2,26,21.6,22.2,24.8,22,22.4,24.8,25,25.4,26,22.6,23.8,20.6,23.8,24.4,24.2,23.4,23.8,24.8,25.4,22.4,23.6,24.4,25,26.8,26.8,25.6,23.6,26.4,26,24,25.2,25.8,23.8,23.2,24.4,23.8,24.6,25,24.2,24,23.4,23.2,22.4,19.2,18.6,24.2,25,22.8,20.8,23.6,25.4,23.4,23,24.2,25,19.2,24.2,18.6,23.6,,20.4,24.6,26,20.2,24.2,25.8,25.2,25,25,25.2,26,26.2,24,25.2,25,24.2,21.6,22.6,22.4,23.6,23.2,22.8,24.6,24.2,23.8,,24.2,25.6,20.2,22.4,22.6,18,23,22.6,24.4,25,25.8,24.4,,22.2,25,24.6,25,26.8,25,25,25,24.2,24,23.2,,,,,26,20.4,22.2,24.2,25.4,24.2,25,25.2,24.8,23.2,26.2,24.4,25.6,24.8,,23.4,23,24.4,25.8,25,26.4,24,22.2,23.8,24.2,24,24.2,24.6,23.8,23.6,23.8,23.8,23.2,23.6,25,23.2,24,25.4,24.2,23.2,24.2,22.8,24.2,23.2,21.6,22.4,24.2,24,21.6,23.2,23.4,23.6,23,24.2,24,22.8,22.4,23.2,24.8,25.6,20.6,24,24,23.2,24.2,24.6,26,24.6,24.8,24.4,25.2,24.2,25.4,20.8,23.8,23.8,24.2,23,24.8,22.2,22.6,24,24.8,24.4,26,25.6,24,24.8,22.2,23.2,24.4,25,24.8,25.2,24,25.2,26.4,26.2,25.8,25.4,25,24.8,24.6,25.2,26.8,26.6,26
23080640,-75.328,6.171083,"2,150",MARINILLA,MARINILLA,ANTIOQUIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23085030,-75.143389,6.37625,"1,712",ALEJANDRÍA,ALEJANDRÍA,ANTIOQUIA,14.6,15,13,12.6,13.2,13.4,12.8,12.6,13,14,16.2,16.8,16.2,15.4,15.2,15,15.4,14.8,14.6,13.8,14.2,15.8,15,15.2,15.8,14,14.4,13.8,13.2,15,15.6,,13,13.8,13.4,14.4,14.8,14.8,15.2,15.4,15,15,16.2,15,15,16,17,16.2,15.4,15.2,13.6,12.8,12,12.6,15.2,13.2,14,16,18.6,15.4,15,14.2,15,16,15.2,15.6,16,14.8,16,16.8,16.6,16,15.8,16,16.6,15.4,15.6,15.8,14.8,15,15.8,15,14.6,14,14.4,15.4,17,16.6,16.4,16,16,16.2,15.4,16.2,16,15.8,15.4,16,16,16.6,14.6,14.8,16,15,15.6,15.4,16,15.6,15,16.2,15.4,14.2,14.8,16,16.6,16,15.6,15.4,15.2,15.4,15.2,14,16.2,15.4,14.4,15.4,15,15.8,15.2,15.8,15,16.2,16.4,16.2,16.4,15.4,16.6,16.4,17,16.8,15.2,15.8,15.4,14.4,16,15.8,16,16.4,,15.6,14.8,15.2,14.8,17,15.6,16.4,14,14.8,14.6,15.4,16.2,16.2,14,15.6,15.4,15.6,15.2,14.8,15.4,14.8,14.6,15.6,16.6,14.8,13.8,13.4,14.8,15,14,14.4,13.8,13.2,14,15,14.8,15.4,15.6,16,15.2,15.6,15.2,16,15,15.8,16,16.6,14.6,14.8,15.4,14.2,15.2,16,15.8,16,14.8,13.6,13.8,14.4,15,14,14.4,15,15.4,15.6,16.2,15,15.2,14.4,15,16,15.6,15.4,15,14.6,14.4,15.2,15.4,16,15.6,15.4,14.4,15,14.8,15,15.2,15.4,16.6,15.4,15.6,16.4,16,15,15.4,15.2,15.6,14.8,15,16.4,15.6,15.8,16,16.2,15.6,16,13.6,13.8,14.8,15,15,17,15,15.8,16.2,16,17,16.6,16,16.8,15,16.8,17,16,15.6,16,15.8,16,16,14.2,16.2,16,16.6,16.8,17,16.4,15,15.4,16.2,16,16.2,16.6,16.2,15.2,16.8,16.4,16.4,17.2,17.4,14.8,15,,,,,,,,,16.6,16.6,15.8,16.6,16,16.2,15,15.2,17,16,16.6,17.4,16.6,16.8,16.6,16.4,16.6,15.4,17.6,15.2,14.8,16,15.4,15.6,16.2,15,15.4,17.6,15.4,13,13.6,15.6,16,16,16.2,16,16.2,15,13.2,15,15.6,15,15,15.4,15,15.2,17,14.8,13.8,15,15.4,15.2,14,14.2,15.6,14.4,15,16
23085080,-74.836694,6.483583,859,GJA EL NUS,SAN ROQUE (GJA EL NUS),ANTIOQUIA,,,,,17.4,19.2,17.6,16.8,17,19.6,,19.2,19,19.6,19,18.6,20,,19.2,19,19.6,19.8,18.6,19.6,19.8,17.8,18.4,18,17.2,19.4,19,20,18.4,18.6,17,18.4,19.8,18.8,20.2,19.8,19.4,19,19.4,20,20,,20,19.6,19.2,19.4,17.4,16.4,16.8,17.8,18.8,18.6,18.8,18.8,19.8,19,20.2,17,17.8,18.2,19.6,19.6,19.8,20,19.2,19.8,19,19.4,20,21.2,19.8,18.8,19,17.4,19.6,19.6,19.8,18.4,18.6,18.6,18.6,19.4,,20.2,19.4,19.2,19,19.8,19.4,,19.8,19.6,19.2,19,18.8,19.2,18.6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19.2,,21,18.8,20.1,,18,20.8,20,19.8,19.6,19.8,19.6,19.6,20.6,19,22.2,20.2,21.6,22,25.8,23.8,20.6,,,,20,18,18.4,,16.8,22,,,,18.6,17,16.8,19,14.8,15,14,17,11.2,11,11.2,13.2,17,19,18,19,17,19,17.4,18.4,19,18.8,17,18.6,17,19.4,17.6,19,18,19,15,16,16,13.2,18,14.6,15.2,19,18.8,16,15,15.8,11.6,15.4,14.6,14.2,15,14.8,14.6,15,15.6,15.6,15.2,15,14.8,15.8,14.8,14.8,14.8,15,14.2,14.6,16,16,14.6,14.8,15.6,14.6,,15,14,14.6,13.6,15,16,11,14.6,14.8,15.4,17,14.6,,,,,19.4,21,20.8,21.2,14.4,14.6,19.6,20.6,16.4,14.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6,,,,,,,,,,,,,,,,,,,,,,,
23085110,-75.241306,6.214222,"2,047",EL PEÑOL,EL PEÑOL,ANTIOQUIA,14.8,13,13.4,12.4,13,13.4,13.4,12.6,12.8,13.8,15.2,15,14.8,14.2,14.4,14.8,14.6,13.6,13.2,13.8,14,14,13.4,14,14.2,13.4,13,13.2,13,14.8,13.8,14,13.6,14,13,13.6,13.2,13,13.4,13.8,13.4,13.8,14.8,14,14.2,15.6,15.8,15.4,14.8,14.2,13.4,13.2,12,12.4,13.6,13,13.8,14.2,13.6,14.4,13.6,13.2,14,15,14.8,14.6,14.2,15,15.2,15,16,14.8,14.6,15,15.4,14.4,14.8,14.8,13.2,14.4,14,14.2,13.8,13,13.6,15,15.4,15,13.4,14,14.4,15,14,15,14.8,14.2,14,13.6,13.4,15.8,14,13.4,15,14.4,14.2,13.6,14.8,14.2,13.4,14.8,13.8,13.4,14.2,15.4,15.8,14.2,15,15.4,14,14.2,14.4,,14,13.6,14,15.2,13,14.6,14.8,15.4,15.2,15.8,15.4,15.6,15.6,14.8,15.2,15,15.2,16,14,14.2,14.6,13,14.8,14.4,13.8,14.4,14.2,14.4,13.6,14.2,13.4,16,15,15.2,13,14.4,15,14.8,13.8,14,14.4,16,14.8,14.8,15,14.4,15.2,14.8,14.2,14.8,15.2,15.4,15.2,16,15.8,15.6,14.8,14,12.4,14,14.6,16,15,12,14,11.6,14.2,14.4,14.8,15.2,14.8,14.8,15.2,15,13,12.6,13.8,13.8,13.6,14.2,14,15,14.8,14,13.4,15,15.4,13,13.4,14,15,15.8,16,15.2,15.2,14.2,15.4,15,14,14.2,14.2,14.6,15,14.2,15,15.4,14.4,13.8,14,14.6,14,15,14.6,15,14.8,13.6,14.2,14.2,15.4,15.2,14,14.4,14.8,14.6,14.6,15.4,14,15,14,15.4,13.8,14.6,13,14,14,14.8,15.2,15.2,14.4,14.4,14,15.6,15,15,14.4,15,14.8,15,15.4,14.8,13.8,14,14.4,15,14.8,13.4,14.4,14.2,15.2,14.4,15.4,14.6,14,15,15.2,15,12.6,14.8,15.4,13.4,14.4,15.4,15.4,16,15.4,13.6,14.2,15,14.6,14.4,14.8,15.4,14.8,14,13.6,14.8,14.2,14,14.8,14.6,15,13.2,15,15.4,15,16,15.2,15,15.2,14,15,14.8,14,14.4,14.6,14.2,14,13.8,15,15.4,14.2,15.2,15.2,15.4,14,14,13.4,13.8,14.4,15.2,14.8,15,15.4,12,13,14.8,13.6,14,14.8,14.6,15.2,15,14.2,14,15,15.6,14.8,14,12.6,13.6,14,15,15.2
