"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"1" "16/08/2018" 24015360 5.7 -73.76 2550 "SABOYÁ" "SABOYÁ" "BOYACÁ" -0.2
"2" "06/12/2018" 24015360 5.7 -73.76 2550 "SABOYÁ" "SABOYÁ" "BOYACÁ" 0
"3" "12/03/2018" 24035040 5.58 -73.21 2700 "LA COPA" "TOCA" "BOYACÁ" -0.8
"4" "16/08/2018" 24035040 5.58 -73.21 2700 "LA COPA" "TOCA" "BOYACÁ" -0.2
"5" "23/01/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.6
"6" "24/01/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -3
"7" "25/01/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.8
"8" "26/01/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.2
"9" "01/02/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -0.2
"10" "12/03/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.8
"11" "13/03/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.6
"12" "14/03/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.4
"13" "15/03/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.2
"14" "17/03/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.4
"15" "16/08/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -2.2
"16" "28/12/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1.6
"17" "29/12/2018" 24035340 5.68 -72.97 2500 "APTO ALBERTO LLERAS CAMARGO" "SOGAMOSO" "BOYACÁ" -1
"18" "20/01/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -0.4
"19" "21/01/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -0.4
"20" "12/03/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -0.6
"21" "13/03/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -1.4
"22" "15/03/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -1.2
"23" "16/08/2018" 24035420 5.96 -72.94 2643 "CERINZA" "CERINZA" "BOYACÁ" -2
